Research Activity,"Project Title 
(and link to additional information, if available)",Topic,Agency and Office Name,Country(ies) in which research is/will be conducted,Status,Upcoming Milestones,Anticipated Completion,Brief Description,Project Link
Analysis of the VA Patient Population Affected by Mpox,Mpox in Veterans Affairs Healthcare System,Epidemiology,VA,Domestic,Planning,"1) Creating research team  

2) designing study – December 31, 2022",2023 Q1,"Description and comparison of unique populations affected by mpox:  1) test positive and treated 2) test positive and untreated 3) test negatives 4) test negatives and re-tested positively 3) indeterminant tests 4) inconclusive tests 5) presented for symptoms but untested. Outcomes include laboratory markers, genome wide sequencing, viral lineage/drug resistance/phylogenetics risk characteristics, clinical course, sequelae of illness. This study will provide information about test performance and illness course, but also help us understand characteristics of individuals presenting for testing to inform testing strategies, including timing for retesting and the value of testing with exposure but without symptoms. An abstract was submitted for presentation at the Council of State and Territorial Epidemiologists 2023 Annual Conference, titled “Epidemiology of the Mpox Outbreak in the Veterans Health Administration (VHA), 2022”.",
Biorepository System,Veterans Affairs Science and Health Initiative to Combat Infectious and Emerging Life-Threatening Diseases (VA SHIELD),Epidemiology,VA/VHA,Domestic,Initiated,"Specimens collected; Specimens used for research – December 31, 2022",Ongoing part of VA’s research pandemic preparedness actions,"VA SHIELD collects de-identified biological samples from U.S. Veterans affected by emerging life-threatening health conditions. Associated clinical and demographic information is maintained in a data repository, to help correlate samples and experimental findings with patient demographics, clinical experience and management, vaccinations, and comorbidities. Specimens are available to investigators within and outside VA via an efficient, secure, vetted distribution system. The number of collected specimens now totals over 40,000 (most of the specimens are COVID positive NP swabs, MPX swabs, plasma, and serum).",https://www.research.va.gov/programs/shield/about.cfm
Monitoring International Mpox Infections,No formal research protocol – monitoring the epidemic among people living with HIV/AIDS to determine whether additional support is needed,Epidemiology,DOS/S/GAC,"International: Countries with PEPFAR programs (Angola, Benin, Botswana, Brazil, Burkina Faso, Burma, Burundi, Cambodia, Cameroon, Cote d’Ivoire, Dominican Republic, DRC, El Salvador, Eswatini, Ethiopia, Ghana, Guatemala, Guyana, Haiti, Honduras, India, Indonesia, Jamaica, Kenya, Kyrgyz Republic, Kazakhstan, Laos, Lesotho, Liberia, Malawi, Mali, Mozambique, Namibia, Nepal, Nicaragua, Nigeria, Panama, Papua New Guinea, Philippines, Rwanda, Senegal, Sierra Leone, South Africa, South Sudan, Tajikistan, Tanzania, Thailand, Togo, Trinidad and Tobago, Uganda, Ukraine, Vietnam, Zambia, Zimbabwe)",Ongoing,None,TBD,"Through communication with U.S. Government in-country staff, the office of the Global AIDS Coordinator is monitoring the impact of the mpox virus outbreak in endemic and non-endemic countries on President’s Emergency Plan for AIDS Relief (PEPFAR) beneficiaries and programs.","https://www.state.gov/statement-from-u-s-global-aids-coordinator-ambassador-dr-john-nkengasong-on-use-of-the-pepfar-platform-for-monkeypox-response/#:~:text=As%20part%20of%20the%20U.S.,prevent%20and%20respond%20to%20monkeypox."
Computational studies of phylogeny and predicting structures of all the monkey pox proteins,Computational studies of monkey pox protein and emerging variants,Epidemiology,DOE/NIAID,Domestic,Ongoing,,,"Argonne (in a collaboration with University of Chicago, University of Virginia and J. Craig Venter Institute) is conducting mpox studies for an NIAID-supported center Bioinformatics Resource Center [BV-BRC https://www.bv-brc.org] that includes studies of phylogeny, predicting structures of all the mpox proteins (~180) and assessing the proteins on a therapeutics pipeline.  They are also tracking all the new variants and providing summary reports to NIAID leadership.",
Mpox Virus detection,Sequencing monkey pox virus from Chicago area wastewater,Epidemiology,DOE,Domestic,Feasibility studies completed,,,Scientists at Argonne are sequencing mpox from wastewater samples collected in the Chicago area to assess whether sequencing will be more consistent and more sensitive than some of the current qPCR/dPCR methods that have produced mixed results.,
Evolution of Mpox,Assessment of human enzyme cAPOBEC3 impacts on driving mpox evolution,Epidemiology,DOE,Domestic,Ongoing,,,"Scientists at Los Alamos recognized a very unusual pattern of mutation that is operative in HIV-1 evolution that is driving mpox evolution in the outbreak (and during its initial spread in 2017). The mutations in the outbreak viruses are driven by human enzyme cAPOBEC3, which is part of the innate immune system.  Other unusual mutation patterns are being defined, along with strategies for dealing with these issues for multiple alignments and studying mpox’s emergence in Nigeria. Computational modeling is being used to study the dynamics of distinctive variants to track evidence for evolutionary selection and to understand if the variants have implications for epidemic forecasting.  This work will enable a better understanding of mpox virus evolution.",
Virus genome sequencing,Challenges in sequencing and assembling mpox viral genome,Epidemiology,DOE,Domestic,Ongoing,,,"Scientists at Los Alamos are advising the CDC genomics group on how to best overcome some of the sequencing and assembly challenges that this large viral genome has compared with SARS-CoV-2. “Multiple lineages of monkeypox virus detected in the United States, 2021-2022.”, joint with CDC, Science. 2022 Nov 4;378(6619):560-565. doi: 10.1126/science.add4153. Epub 2022 Oct 20. PMID: 36264825.",
Molecular Therapeutics,Computational design of potential pan-orthopox anti-viral,Therapeutics,DOE,Domestic,Planned,,,Lawrence Livermore is conducting studies as part of the DoD/JPEO Generative Unconstrained Intelligent Drug Engineering (GUIDE) program to establish the feasibility of undertaking a computational design campaign to develop a pan-orthopoxvirus therapeutic/prophylactic antibody.,
Animal reservoirs,Investigation of animal reservoirs,Epidemiology,CDC,"Cameroon, Nigeria",Ongoing,"2023 Q3,4: Laboratory analysis of specimens",2023 Q3,"This study assesses the prevalence of antibody-positive blood samples collected from animals in forest areas where cases of mpox have been reported. Activities include collecting tissue and swab samples from small mammals and testing for presence of mpox virus in high-risk areas. These activities will further our understanding of natural transmission patterns and sources of mpox virus, aiding our ability to stem future introductions into the United States and to assist endemic countries in minimizing the impact of the disease in their countries.",
Passive zoonotic disease surveillance,Ongoing Passive Surveillance of Sick or Dead Wildlife Species,Epidemiology,FWS)/NWRS,USA,Ongoing,N/A,N/A,"There is ongoing passive surveillance for sick and dead wildlife species on national wildlife refuges for various zoonotic disease agents (e.g., highly pathogenic avian influenza (HPAI), tularemia, anthrax, plague, rabies, etc.). The FWS Wildlife Health office within the NWRS receive notifications about sick or dead wildlife from FWS refuge personnel. FWS refuge staff may also be in communication with local and/or state public health agencies, state public health veterinarians, etc., along with the FWS Wildlife Health office. The Wildlife Health office staff discuss pertinent biosafety and biosecurity measures to implement based on the specific report and proper sample collection and shipping procedures if samples will be sent to a veterinary diagnostic laboratory, the National Wildlife Health Center, or another appropriate laboratory depending on the sample(s) submitted for diagnostic testing. There is no current active disease surveillance in place for mpox virus in wildlife on the national wildlife refuges.",
Human-animal interface study,Investigation of zoonotic risk factors among mpox cases in Nigeria,Epidemiology,CDC,Nigeria,Planned (normal long-standing program activity),FY23,"September 30, 2023 (with option to extend 1 year)","This project will use mixed methods (qualitative and quantitative) interviews to examine mpox risk factors at the human-animal interface for human mpox cases. This will provide missing data about how people in Nigeria are being exposed to infected animals. Partners: Penn State, Nigeria Centre for Disease Control, National Veterinary Research Institute",
Mpox virus ecology study,Assessing the ecological aspects of mpox virus in Nigeria: building capacity for field and lab-based investigations,Epidemiology,CDC,Nigeria,Ongoing (normal long-standing program activity),,TBD,"A One Health Team has been trained to capture, sample, and test animals for mpox virus infections. The team continues to collect animal samples for lab analysis. Study will provide information about which types of animals are naturally infected with mpox virus in the environment. Partners include: Nigeria Centre for Disease Control, National Veterinary Research Institute, Federal Ministry of Agriculture and Rural Development, African Field Epidemiology Network.",
Human-animal interface/value chain risk study,Examining the human-animal interface: assessing mpox risk along the wild game meat value chain,Epidemiology,CDC,Democratic Republic of the Congo,Ongoing (normal long-standing program activity),2nd field session Q1 2023,TBD,"Examining the human-animal interface in rural DRC where people regularly hunt and consume small mammals as an essential protein source. This project will generate quantifiable data on characteristics of hunters, analysis of hunting effort, small mammal species captured, and the disposition of those animals.  These data will be analyzed spatially and examined for risk factors for primary zoonotic transmission of mpox virus and other zoonotic pathogens into human populations. Study will provide information about how human behaviors may increase the risk of mpox virus transmission from animals to humans. Partners include: University of Kinshasa, Kinshasa School of Public Health.",
Ecology of suspected reservoirs,Studies to examine the ecology of suspected mpox reservoirs,Epidemiology,CDC,Democratic Republic of the Congo,Ongoing (normal long-standing program activity),Field session Q1 2023,TBD,"The current study uses camera traps to assess the activity patterns and relative abundance of suspected mpox reservoirs in disturbed and undisturbed environments to examine potential mpox risk at the human-animal interface in these habitats. This will provide information on how animal behaviors may increase the risk of mpox virus transmission from animals to humans. Partners include: University of Kinshasa, Kinshasa School of Public Health.",
Mpox virus  ecology study,Investigating potential small mammal reservoirs in Sierra Leone,Epidemiology,CDC,Sierra Leone,Ongoing (normal long-standing program activity),,TBD,"A team at the University of Njala has been trained to capture, sample, and test animals for mpox virus infections. The team continues to collect animal samples for lab analysis. Study will provide information about which animals are naturally infected with mpox virus in the environment. Partner: University of Njala.",
Mpox virus  ecology study and outbreak response,Assessing mpox virus prevalence in small mammals and outbreak response,Epidemiology,CDC,Cameroon,Ongoing,,2024,"A Team from the University of Douala has been trained to capture, sample, and test animals for mpox virus infections. The team continues to collect animal samples for lab analysis during outbreak response efforts. This will provide information about which animals may be transmitting mpox virus to humans. Defense Threat Reduction Agency (DTRA) funded, Partners include: Ministry of Public Health, Centre Pasteur in Cameroon, University of Doula, National Veterinary Laboratory",
"Mpox virus ecology studies, capacity building, viral sequencies, modeling, human surveillance",Mpox Threat Reduction Network (TRN): Decreasing the threat of mpox emergence and spread in West and Central Africa,Epidemiology,DTRA/CDC,"International: Nigeria, Cameroon, Democratic Republic of the Congo, Gabon",Ongoing,,2028,"This study is a wide-ranging project to reduce mpox cases in endemic countries.  A large part of the project will assess potential animal reservoirs and examine the ecological aspects of mpox virus though research and capacity building. The project will provide information about animals involved in the transmission of mpox virus to humans, but also about how human and animal behaviors may increase the risk of mpox virus transmission from animals to humans. Defense Threat Reduction Agency (DTRA) funded. Partners include: Nigeria Centre for Disease Control (NCDC), National Veterinary Research Institute in Nigeria (NVRI), African Field Epidemiology Network (AFENET), Centre Pasteur in Cameroon (CPC), University of Doula (UDLA), National Veterinary Laboratory (LANAVET), National Biomedical Research Institute in Kinshasa (INRB), International Center of Medical Research of Franceville, Gabon (CIRMF).",
Susceptibility study,"Investigating the susceptibility of white-footed mice (Peromyscus leucopus), rats (rattus rattus), and prairie dogs to 2022 mpox virus infection",Epidemiology,CDC,USA,Ongoing (new activity by program as result of current outbreak),"Q2 2023: The Peromyscus study has been completed and sample processing and laboratory testing has begun.

2023 Q3: Rattus rattus and prairie dog studies will begin",2024,This study examines the pathogenesis of multiple mpox virus strains in domestic wild animals and will yield data about whether or not these rodents could become a potential mpox virus host in North America.,
Viral persistence,Identify persistence of mpox virus in bodily fluids,Epidemiology,CDC,USA (Puerto Rico and New York City),Q1 2023 Will start enrollment late March 2023,Just started,Q4 2023 (1 year project),"These projects investigate viral persistence in semen and other body fluids. Project data on the effect of mpox virus on sperm count, concentration, motility, or morphology post-infection could enable informed decisions about reproductive health.  The project in partnership with Puerto Rico and Columbia University involves multiple sites using a common approach and protocol. 

The  study will involve collection of serial specimens from confirmed and probable male mpox cases post-diagnosis to: 1) Determine the presence, persistence, or recurrence of mpox virus in seminal fluid, saliva, conjunctival fluid, oropharyngeal swabs, and rectal swabs, and whether it is replication competent, 2) Describe orthopoxvirus antibody response in blood, 3) Characterize changes in sperm count, motility, or quality in the convalescent phase, and 4) Characterize psychosocial, behavioral and clinical sequelae from mpox illness over time.",
Transmission Dynamics and Modes,"Ecological and Epidemiological Investigations of High-Consequence Zoonotic Pathogens at the Livestock, Wildlife and Human Interface",Epidemiology,USDA Agricultural Research Service,TBD,Planned,2022 Q4: Initiate study,TBD,"Domestic and wild animals will be monitored for evidence of mpox infection to better understand whether animals play a role in harboring, transmitting, or persistence of the virus. In collaboration with Institut National de Recherche Biomédicale (INRB), and the Institute of Tropical Medicine Antwerp (ITM) we will explore evidence of spillover in the Democratic Republic of Congo and in border areas with Angola and Uganda. These groups have established study locations in areas where mpox cases are frequently observed.  In addition, we will partner with UCLA and NIH Rocky Mountain Laboratories for analysis of samples collected in the Republic of Congo including border areas. Samples will be assessed for evidence of antibodies to orthopox virus as well as the presence of viral DNA as well as live virus if lesions are present in any collected animals.",
Transmission Dynamics and Modes,Evaluation of susceptibility of select animal species.,Epidemiology,USDA Agricultural Research Service,TBD,Planned,2022 Q4: Initiate study,TBD,"As the mpox virus continues to spread, there is the potential for the virus to become established in animal populations through contact with infected humans or environments, so the susceptibility of various animal species to infection will be assessed.  Determine the potential risk of transmission of mpox virus to animals including domestic (agricultural, companion), peri-domestic animals (e.g. rodents), and wildlife.",
Serosurveys and Improved Serological Surveys,Development of a mpoxspecific immunoassay,Epidemiology,USDA Agricultural Research Service,TBD,Planned,2022 Q4: Initiate study,TBD,"Testing methods to distinguish whether an animal or person has been exposed to Mpox or another virus in the same virus family will be developed. Identify specific peptides / protein fragments (encoded or absent in MPXV genome) that would allow differentiation of mpox infection from vaccination and previous smallpox or other orthopox virus infection. Currently available assays are only able to distinguish if a person / animal has been exposed to an orthopox infection. Assays cannot distinguish if the response was the result of a mpox infection or another orthopox virus infection. 

If specific peptides/protein fragments are identified, USDA and Columbia University will partner with CDC to develop a mpox specific assay.",
Biosurveillance study,Mpox Threat Reduction Network (MPX-TRN): Using the Sentinel Sites in the DRC as a regional training center to create sustainable biosurveillance systems in DTRA Priority Countries,Epidemiology,DTRA-CTR/BTRP,"International: Democratic Republic of Congo, Uganda, Cameroon",Ongoing,Initiate sample testing and MPV genome sequencing; Establish training center,Base period ends: 2024 Q3,"This study aims to determine the incidence, distribution, and transmission chain of mpox virus in the region and strengthen capacities for case detection, biosurveillance, and laboratory diagnostics in order to create a sustainable biosurveillance system.",
Education and Training,Sample Collection Training and Capacity Building,Education,WRAIR,International: West Africa,Closing out both training iterations,"2022 Q4: Manuscript, documenting the training approach and associated outcomes, journal submission is on-going",2023 Q3,"WRAIR, through the Joint West African Research Group, facilitated training for personnel to identify potential infected patients and collect mpox samples for diagnostic testing. This builds capacity for early identification of mpox in areas with endemic disease and/or reservoirs, where spillover to humans is most likely to occur.",
International Training and equipment upgrades/maintenance,Enhancing Biosafety and Biosecurity of High Containment Facilities at the Institut National de Recherche Biomédicale (INRB),Education,DOS/ISN,International: DRC,Ongoing,In-person workshop in October 2022,2022 Q4,"Through a series of virtual biosafety and biosecurity trainings participants will be trained on biorisk management and will develop an institutional biosafety and biosecurity program plan. This effort will build institutionalized capacity at the INRB to ensure that equipment in laboratories working with and storing high-consequence pathogens, such as mpox virus, is operating optimally and with all necessary biosafety and biosecurity considerations.",
Computational and Bioinformatics support; Outreach and Communication Activities,Computational and bioinformatics support for the mpox virus research community (BV-BRC),Outreach,NIH/NIAID/NLM,Domestic and International,Ongoing,,"2023 Q1
and ongoing","The BV-BRC provided and extended public access to computational platforms and analysis tools to accelerate large-scale data analysis capabilities needed to monitor and assess countermeasures against monkeypox virus. During 2022 updated mpox genome annotations and orthopoxvirus analytic tools were extended in collaboration with experts of the International Committee on Taxonomy of Viruses (ICTV).  In collaboration with the BRCs, NIH/NLM, orthopoxvirus stakeholders, and the University of California Santa Cruz (UCSC) the UCSC Genome Browser mpox virus reference genome browser was launched. Furthermore, the BV-BRC hosted the Mpox and Orthopoxvirus Mini-Symposium on bioinformatics resources, tools, and research for the research community, bringing together nearly 800 registrants with 478 attendees from over 40 countries.",https://www.bv-brc.org/
